comune,provincia,slug,url_preview,exists_prod,exists_draft
Monza,Monza e Brianza,monza,/pages-draft/assistenza-it-monza.html,yes,yes
Arcore,Monza e Brianza,arcore,/pages-draft/assistenza-it-arcore.html,yes,yes
Milano,Milano,milano,/pages-draft/assistenza-it-milano.html,yes,yes
Como,Como,como,/pages-draft/assistenza-it-como.html,yes,yes
Bergamo,Bergamo,bergamo,/pages-draft/assistenza-it-bergamo.html,yes,yes
Brianza,Monza e Brianza,brianza,/pages-draft/assistenza-it-brianza.html,yes,yes
Biassono,Monza e Brianza,biassono,/pages-draft/assistenza-it-biassono.html,yes,yes
Seregno,Monza e Brianza,seregno,/pages-draft/assistenza-it-seregno.html,yes,yes
Monza E Brianza,Monza e Brianza,monza-e-brianza,/pages-draft/assistenza-it-monza-e-brianza.html,yes,yes
Lezzeno,Como,lezzeno,/pages-draft/assistenza-it-lezzeno.html,yes,yes
Sesto San Giovanni,Milano,sesto-san-giovanni,/pages-draft/assistenza-it-sesto-san-giovanni.html,yes,yes
Cologno Monzese,Milano,cologno-monzese,/pages-draft/assistenza-it-cologno-monzese.html,yes,yes
Brugherio,Monza e Brianza,brugherio,/pages-draft/assistenza-it-brugherio.html,yes,yes
Arcore,Monza e Brianza,arcore,/pages-draft/assistenza-it-arcore.html,yes,yes
Villasanta,Monza e Brianza,villasanta,/pages-draft/assistenza-it-villasanta.html,yes,yes
Vimercate,Monza e Brianza,vimercate,/pages-draft/assistenza-it-vimercate.html,yes,yes
Lesmo,Monza e Brianza,lesmo,/pages-draft/assistenza-it-lesmo.html,yes,yes
Usmate Velate,Monza e Brianza,usmate-velate,/pages-draft/assistenza-it-usmate-velate.html,yes,yes
Cornate D'Adda,Monza e Brianza,cornate-d-adda,/pages-draft/assistenza-it-cornate-d-adda.html,yes,yes
Mezzago,Monza e Brianza,mezzago,/pages-draft/assistenza-it-mezzago.html,yes,yes
Bernareggio,Monza e Brianza,bernareggio,/pages-draft/assistenza-it-bernareggio.html,yes,yes
Carate Brianza,Monza e Brianza,carate-brianza,/pages-draft/assistenza-it-carate-brianza.html,yes,yes
Desio,Monza e Brianza,desio,/pages-draft/assistenza-it-desio.html,yes,yes
Lissone,Monza e Brianza,lissone,/pages-draft/assistenza-it-lissone.html,yes,yes
Meda,Monza e Brianza,meda,/pages-draft/assistenza-it-meda.html,yes,yes
Cesano Maderno,Monza e Brianza,cesano-maderno,/pages-draft/assistenza-it-cesano-maderno.html,yes,yes
Barlassina,Monza e Brianza,barlassina,/pages-draft/assistenza-it-barlassina.html,yes,yes
Misinto,Monza e Brianza,misinto,/pages-draft/assistenza-it-misinto.html,yes,yes
Lentate Sul Seveso,Monza e Brianza,lentate-sul-seveso,/pages-draft/assistenza-it-lentate-sul-seveso.html,yes,yes
Seveso,Monza e Brianza,seveso,/pages-draft/assistenza-it-seveso.html,yes,yes
Novate Brianza,Monza e Brianza,novate-brianza,/pages-draft/assistenza-it-novate-brianza.html,yes,yes
Giussano,Monza e Brianza,giussano,/pages-draft/assistenza-it-giussano.html,yes,yes
Cantu,Como,cantu,/pages-draft/assistenza-it-cantu.html,yes,yes
Mariano Comense,Como,mariano-comense,/pages-draft/assistenza-it-mariano-comense.html,yes,yes
Novedrate,Como,novedrate,/pages-draft/assistenza-it-novedrate.html,yes,yes
Carimate,Como,carimate,/pages-draft/assistenza-it-carimate.html,yes,yes
Fino Mornasco,Como,fino-mornasco,/pages-draft/assistenza-it-fino-mornasco.html,yes,yes
Appiano Gentile,Como,appiano-gentile,/pages-draft/assistenza-it-appiano-gentile.html,yes,yes
Olgiate Comasco,Como,olgiate-comasco,/pages-draft/assistenza-it-olgiate-comasco.html,yes,yes
Lomazzo,Como,lomazzo,/pages-draft/assistenza-it-lomazzo.html,yes,yes
Bregnano,Como,bregnano,/pages-draft/assistenza-it-bregnano.html,yes,yes
Saronno,Varese,saronno,/pages-draft/assistenza-it-saronno.html,yes,yes
Tradate,Varese,tradate,/pages-draft/assistenza-it-tradate.html,yes,yes
Lecco,Lecco,lecco,/pages-draft/assistenza-it-lecco.html,yes,yes
Merate,Lecco,merate,/pages-draft/assistenza-it-merate.html,yes,yes
Calolziocorte,Lecco,calolziocorte,/pages-draft/assistenza-it-calolziocorte.html,yes,yes
Oggiono,Lecco,oggiono,/pages-draft/assistenza-it-oggiono.html,yes,yes
Valmadrera,Lecco,valmadrera,/pages-draft/assistenza-it-valmadrera.html,yes,yes
Mandello Del Lario,Lecco,mandello-del-lario,/pages-draft/assistenza-it-mandello-del-lario.html,yes,yes
Bellano,Lecco,bellano,/pages-draft/assistenza-it-bellano.html,yes,yes
Colico,Lecco,colico,/pages-draft/assistenza-it-colico.html,yes,yes
Dervio,Lecco,dervio,/pages-draft/assistenza-it-dervio.html,yes,yes
